date	avg_total	avg_icu	avg_vent	cumul_partial	percent
2021-03-10	11547	3017	1637	60	0.00018372558746256593
2021-03-11	11601	2901	1549	1205	0.0036898222148731984
2021-03-12	11117	2796	1493	5301	0.016232155652317698
2021-03-13	10778	2772	1433	12017	0.036797173075627576
2021-03-14	10551	2749	1399	18718	0.05731625910207182
2021-03-15	10410	2719	1371	34086	0.10437450623748369
2021-03-16	10429	2710	1345	55739	0.17067800865959937
2021-03-17	9880	2710	1294	78398	0.24006197676483737
2021-03-18	10242	2734	1247	97925	0.29985546920452943
2021-03-19	10470	2753	1236	112234	0.3436709597212271
2021-03-20	10695	2757	1251	127963	0.3918346224745387
2021-03-21	10673	2770	1247	140447	0.43006179303924985
2021-03-22	11063	2775	1245	167413	0.5126341962311758
2021-03-23	11198	2779	1253	197369	0.6043622578649862
2021-03-24	11372	2781	1320	226064	0.6922290200689584
2021-03-25	11262	2760	1384	252532	0.7732765008849449
2021-03-26	11329	2762	1410	278562	0.8529827849124547
2021-03-27	11372	2802	1427	295326	0.9043157140494957
2021-03-28	11455	2837	1463	305297	0.9348478445926498
2021-03-29	11175	2871	1497	325541	0.9968368578025195
2021-03-30	10990	2903	1519	350993	1.07477325200414
2021-03-31	11119	2933	1553	371775	1.138409671314924
2021-04-01	10990	2967	1581	389076	1.191386944459755
2021-04-02	11020	2978	1600	399797	1.2242156448461912
2021-04-03	10982	2976	1607	407512	1.2478396933007527
2021-04-04	11048	2982	1615	417215	1.277551182886574
2021-04-05	11464	3008	1626	426931	1.3073024796830122
2021-04-06	11856	3036	1639	435240	1.3327454114534532
2021-04-07	12120	3096	1639	441540	1.3520365981370226
2021-04-08	12394	3132	1641	447972	1.3717319811130095
2021-04-09	12370	3192	1637	451906	1.3837782554643052
2021-04-10	12934	3252	1645	453604	1.3889776895894959
2021-04-11	13189	3308	1643	457263	1.400181888331588
2021-04-12	13030	3381	1662	464944	1.4237018256199208
2021-04-13	13092	3445	1680	476355	1.4586433702621764
2021-04-14	13566	3490	1688	486173	1.4887070005573009
2021-04-15	14378	3589	1712	501956	1.537036016339329
2021-04-16	14871	3713	1755	509556	1.5603079240845874
2021-04-17	15015	3803	1793	512253	1.5685663892410298
2021-04-18	15572	3917	1834	518247	1.5869205754285398
